#P
1	0.000936019  2.8267e-05  1  0
2	0.1861  0.00217284  0.77745  0.00277303
3	0.210094  0.00176233  0.766302  0.00197391
4	0.262387  0.00222871  0.69388  0.00299207
5	0.279075  0.00210984  0.69014  0.0026034
6	0.299575  0.00235882  0.653907  0.00337756
7	0.313354  0.0022266  0.645483  0.00324488
8	0.324631  0.00232662  0.629044  0.00345205
9	0.337396  0.00233149  0.610333  0.00378701
10	0.346971  0.00231959  0.607087  0.00349517
11	0.354178  0.0023183  0.591612  0.00398892
12	0.360615  0.00226828  0.592403  0.00367248










